date,open,high,low,close,SMA_20
2023-08-08,110.5,111.0,109.5,110.5,109.25
2023-08-09,110.5,111.5,110.0,110.5,109.525
2023-08-10,111.0,111.0,109.5,110.0,109.65
2023-08-11,110.0,110.5,108.5,108.5,109.725
2023-08-14,109.5,110.5,109.0,110.0,109.75
2023-08-15,108.0,109.0,107.0,107.0,109.575
2023-08-16,106.5,106.5,105.0,105.5,109.25
2023-08-17,105.5,107.0,105.5,106.5,109.15
2023-08-18,106.5,107.0,105.5,106.0,109.05
2023-08-21,106.5,107.0,105.5,106.0,108.975
2023-08-22,106.5,107.0,106.0,106.5,108.9
2023-08-23,106.5,107.5,106.0,106.5,108.625
2023-08-24,109.0,110.5,108.5,109.5,108.525
2023-08-25,108.5,109.0,108.0,108.0,108.4
2023-08-28,108.5,109.0,108.0,108.0,108.325
2023-08-29,108.0,108.5,105.0,106.0,108.2
2023-08-30,106.5,107.0,106.0,106.0,107.975
2023-08-31,106.0,107.0,105.5,106.5,107.9
2023-09-01,106.5,107.5,106.5,107.5,107.725
2023-09-04,107.5,108.0,105.5,106.5,107.575
2023-09-05,106.5,107.0,106.0,107.0,107.4
2023-09-06,106.5,107.0,106.0,106.0,107.175
2023-09-07,106.0,106.0,105.5,105.5,106.95
2023-09-08,105.5,106.0,105.0,106.0,106.825
2023-09-11,106.0,106.0,105.0,105.0,106.575
2023-09-12,106.0,107.5,105.5,107.5,106.6
2023-09-13,107.0,107.5,105.5,106.0,106.625
2023-09-14,106.5,107.0,106.0,106.5,106.625
2023-09-15,106.5,107.0,106.0,106.0,106.625
2023-09-18,106.0,106.5,105.5,106.5,106.65
2023-09-19,106.5,107.5,106.5,106.5,106.65
2023-09-20,106.5,107.0,106.0,106.0,106.625
2023-09-21,106.0,106.5,105.0,105.0,106.4
2023-09-22,105.0,105.5,105.0,105.0,106.25
2023-09-25,105.5,106.0,105.0,105.5,106.125
2023-09-26,105.0,105.5,104.0,104.0,106.025
2023-09-27,104.0,104.5,103.5,104.0,105.925
2023-09-28,104.5,104.5,103.0,104.0,105.8
2023-10-02,104.0,105.0,104.0,104.5,105.65
2023-10-03,104.0,104.5,103.5,104.0,105.525
2023-10-04,103.0,103.5,102.5,103.0,105.325
2023-10-05,103.0,104.0,103.0,103.5,105.2
2023-10-06,105.0,106.0,104.5,105.5,105.2
2023-10-11,106.5,106.5,105.5,106.0,105.2
2023-10-12,106.5,107.0,106.0,107.0,105.3
2023-10-13,107.0,107.5,106.0,107.5,105.3
2023-10-16,107.0,107.5,106.5,107.0,105.35
2023-10-17,107.5,108.0,106.5,106.5,105.35
2023-10-18,106.0,106.5,105.0,105.5,105.325
2023-10-19,105.0,105.5,103.0,103.5,105.175
2023-10-20,103.0,104.5,103.0,103.5,105.025
2023-10-23,102.0,102.0,100.0,100.5,104.75
2023-10-24,99.8,99.8,97.3,98.3,104.415
2023-10-25,98.3,99.5,98.3,99.0,104.11500000000001
2023-10-26,98.3,98.7,98.0,98.5,103.76500000000001
2023-10-27,98.5,98.9,98.2,98.2,103.475
2023-10-30,98.3,98.5,94.0,94.5,103.0
2023-10-31,95.1,96.9,95.1,96.5,102.625
2023-11-01,96.4,96.5,95.6,95.6,102.17999999999999
2023-11-02,96.2,97.4,96.0,97.0,101.83
2023-11-03,95.8,96.2,95.2,95.8,101.47
2023-11-06,96.2,97.7,96.2,96.4,101.115
2023-11-07,96.4,96.8,95.5,96.1,100.64500000000001
2023-11-08,95.7,97.4,95.7,97.0,100.19500000000001
2023-11-09,97.4,98.4,97.3,97.9,99.74
2023-11-10,97.9,98.0,97.0,97.2,99.225
2023-11-13,97.8,98.4,97.5,97.7,98.76
2023-11-14,98.4,101.0,98.2,100.0,98.435
2023-11-15,100.5,101.5,99.8,100.5,98.185
2023-11-16,101.0,101.5,100.5,101.0,98.06
2023-11-17,101.5,103.5,101.0,102.5,98.01
2023-11-20,102.5,102.5,101.0,101.0,98.035
2023-11-21,102.0,102.5,101.0,102.5,98.245
2023-11-22,103.0,104.0,102.0,102.0,98.39500000000001
2023-11-23,102.5,103.0,101.0,101.5,98.545
2023-11-24,102.0,102.5,101.0,101.5,98.71000000000001
