date,open,high,low,close,SMA_20
2023-08-08,117.0,117.5,114.0,115.0,119.95
2023-08-09,115.5,119.5,115.0,116.0,119.125
2023-08-10,118.0,118.5,112.0,114.0,118.075
2023-08-11,115.0,117.0,114.0,114.5,117.1
2023-08-14,114.0,114.0,107.5,108.5,115.65
2023-08-15,109.5,113.5,109.0,111.5,114.175
2023-08-16,110.0,111.5,108.0,110.5,112.9
2023-08-17,109.0,112.0,108.5,110.0,112.275
2023-08-18,111.0,116.0,110.5,113.0,112.4
2023-08-21,113.0,115.5,112.5,113.5,112.45
2023-08-22,113.5,114.5,110.0,110.0,112.65
2023-08-23,110.0,111.5,109.0,110.0,112.575
2023-08-24,111.5,117.0,110.5,115.0,112.925
2023-08-25,114.0,116.0,112.5,113.5,113.075
2023-08-28,114.5,115.0,111.5,112.0,113.05
2023-08-29,113.0,114.0,111.5,113.5,112.875
2023-08-30,114.0,114.5,112.5,112.5,112.8
2023-08-31,113.0,114.5,112.5,113.5,112.95
2023-09-01,114.5,116.0,111.0,111.5,112.725
2023-09-04,111.5,111.5,110.0,110.5,112.425
2023-09-05,110.5,111.5,110.0,110.5,112.2
2023-09-06,112.0,112.0,110.5,110.5,111.925
2023-09-07,111.0,111.0,108.0,108.5,111.65
2023-09-08,108.5,108.5,106.0,107.0,111.275
2023-09-11,107.5,108.5,103.5,103.5,111.025
2023-09-12,104.0,105.0,101.0,104.0,110.65
2023-09-13,104.0,104.0,101.5,103.0,110.275
2023-09-14,103.5,104.5,103.0,104.0,109.975
2023-09-15,104.5,105.0,102.0,103.5,109.5
2023-09-18,102.0,103.0,101.5,101.5,108.9
2023-09-19,101.5,103.0,101.0,101.0,108.45
2023-09-20,101.0,102.0,98.2,100.5,107.975
2023-09-21,99.8,100.0,98.3,98.7,107.16000000000001
2023-09-22,99.2,105.0,98.8,102.0,106.58500000000001
2023-09-25,103.5,107.0,103.0,106.5,106.31000000000002
2023-09-26,106.0,107.5,104.5,106.5,105.96000000000001
2023-09-27,107.0,107.5,105.0,106.0,105.63500000000002
2023-09-28,106.0,107.5,105.5,107.5,105.33500000000001
2023-10-02,108.5,109.5,107.5,109.0,105.21000000000001
2023-10-03,109.5,111.5,106.5,107.5,105.06000000000002
2023-10-04,106.5,108.5,105.5,106.0,104.83500000000001
2023-10-05,106.5,109.5,106.5,108.0,104.71000000000001
2023-10-06,108.0,108.0,106.0,106.5,104.61000000000001
2023-10-11,108.0,108.5,105.0,105.0,104.51000000000002
2023-10-12,105.5,106.5,105.0,106.0,104.63500000000002
2023-10-13,106.0,106.0,102.0,102.5,104.56000000000002
2023-10-16,102.0,102.5,101.0,102.5,104.53500000000001
2023-10-17,104.0,104.5,100.0,100.0,104.33500000000001
2023-10-18,100.5,101.0,99.0,99.0,104.11000000000001
2023-10-19,98.7,99.7,98.0,98.1,103.94000000000001
2023-10-20,98.3,98.7,93.7,96.2,103.7
2023-10-23,96.0,101.0,95.2,99.9,103.67
2023-10-24,100.0,101.5,99.3,100.0,103.73499999999999
2023-10-25,101.0,102.5,101.0,102.0,103.73499999999999
2023-10-26,101.0,102.0,100.0,100.0,103.41
2023-10-27,101.0,101.0,99.1,99.1,103.04
2023-10-30,99.9,99.9,97.2,97.6,102.62
2023-10-31,98.6,98.8,93.0,93.2,101.905
2023-11-01,93.7,94.9,93.0,94.5,101.17999999999999
2023-11-02,96.1,96.7,95.4,96.5,100.63
2023-11-03,97.5,98.5,96.9,98.3,100.245
2023-11-06,100.0,102.0,99.6,100.5,99.87
2023-11-07,101.5,103.0,100.5,102.5,99.67
2023-11-08,102.5,103.0,100.5,100.5,99.44500000000001
2023-11-09,102.0,102.5,99.2,99.3,99.11
2023-11-10,99.9,103.0,99.0,102.5,99.11
2023-11-13,103.0,103.5,100.5,101.0,99.035
2023-11-14,102.0,102.5,100.5,102.0,99.135
2023-11-15,103.0,104.0,102.0,103.5,99.36
2023-11-16,103.5,104.0,101.5,103.0,99.605
2023-11-17,103.5,104.5,103.0,104.0,99.995
2023-11-20,104.0,104.5,102.5,102.5,100.125
2023-11-21,103.0,103.5,102.0,102.5,100.25
2023-11-22,102.0,103.5,101.5,102.5,100.275
2023-11-23,103.0,108.5,102.5,106.5,100.6
2023-11-24,110.0,117.0,108.0,117.0,101.495
2023-11-27,121.0,124.5,118.0,119.0,102.56499999999998
2023-11-28,119.5,124.5,119.5,124.0,104.10499999999999
2023-11-29,123.5,124.5,120.5,121.0,105.42999999999999
2023-11-30,120.5,123.5,120.0,121.5,106.67999999999999
2023-12-01,121.5,124.0,120.0,120.5,107.78999999999999
2023-12-04,121.5,126.5,120.0,126.5,109.08999999999999
2023-12-05,126.0,133.0,124.0,129.5,110.43999999999998
2023-12-06,130.5,132.0,126.0,126.5,111.73999999999998
2023-12-07,126.5,134.0,126.0,126.5,113.1
2023-12-08,127.5,129.5,125.0,126.0,114.275
2023-12-11,127.0,128.0,123.5,126.0,115.525
2023-12-12,126.0,128.0,125.0,125.0,116.675
2023-12-13,126.5,128.5,123.5,124.5,117.725
2023-12-14,126.5,127.0,124.0,125.0,118.825
2023-12-15,125.5,127.0,120.0,122.0,119.725
2023-12-18,121.5,123.0,119.5,120.5,120.625
2023-12-19,120.5,121.0,116.0,117.0,121.35
2023-12-20,117.5,118.5,116.5,117.5,122.1
2023-12-21,116.5,117.0,114.5,115.0,122.525
2023-12-22,115.5,118.0,115.0,116.0,122.475
2023-12-25,116.5,119.5,116.5,117.5,122.4
2023-12-26,117.5,118.0,115.5,116.5,122.025
2023-12-27,116.5,117.5,116.0,116.0,121.775
2023-12-28,117.0,123.0,116.5,119.0,121.65
2023-12-29,119.0,119.5,114.0,116.5,121.45
2024-01-02,117.0,120.0,115.5,119.0,121.075
2024-01-03,118.0,120.5,117.0,120.0,120.6
2024-01-04,119.0,120.5,117.0,118.5,120.2
2024-01-05,118.0,119.5,117.5,119.5,119.85
2024-01-08,120.0,121.0,118.0,118.0,119.45
2024-01-09,120.5,122.0,118.0,120.0,119.15
2024-01-10,119.0,121.5,118.0,119.5,118.875
2024-01-11,120.0,120.5,118.0,119.0,118.6
2024-01-12,120.0,122.5,119.5,120.5,118.375
2024-01-15,122.0,126.0,120.0,121.5,118.35
2024-01-16,121.5,122.0,118.5,118.5,118.25
2024-01-17,118.5,119.0,115.0,115.0,118.15
2024-01-18,115.5,116.5,114.0,115.5,118.05
2024-01-19,116.0,117.5,115.5,115.5,118.075
2024-01-22,116.5,119.0,115.0,118.5,118.2
2024-01-23,118.5,122.0,118.5,120.5,118.35
2024-01-24,121.0,121.5,119.0,119.5,118.5
2024-01-25,120.0,120.5,118.0,118.0,118.6
2024-01-26,118.5,119.5,118.0,119.0,118.6
2024-01-29,119.0,121.0,118.5,120.5,118.8
2024-01-30,120.5,122.0,118.5,118.5,118.775
2024-01-31,118.5,120.0,117.0,119.5,118.75
2024-02-01,119.0,126.0,119.0,126.0,119.125
2024-02-02,128.5,130.0,124.0,124.5,119.375
2024-02-05,126.0,126.0,122.0,122.5,119.6
2024-02-15,123.0,123.0,119.0,120.5,119.625
2024-02-16,121.5,130.0,121.5,129.0,120.1
2024-02-19,131.0,136.0,129.0,129.5,120.625
2024-02-20,130.5,133.0,125.0,128.0,121.0
2024-02-21,128.5,136.0,128.0,132.5,121.55
2024-02-22,133.0,136.0,130.5,133.5,122.3
2024-02-23,135.0,146.0,131.5,143.0,123.7
2024-02-26,150.0,157.0,149.0,153.0,125.575
2024-02-27,154.5,160.5,151.5,155.5,127.575
2024-02-29,157.0,171.0,156.5,171.0,130.2
2024-03-01,178.5,179.5,168.0,171.0,132.725
2024-03-04,172.5,173.0,164.5,167.0,135.1
2024-03-05,170.5,175.0,167.0,169.0,137.65
2024-03-06,168.5,175.0,166.0,174.0,140.4
2024-03-07,174.0,174.5,167.0,171.0,142.925
2024-03-08,170.0,170.5,157.5,161.5,145.075
2024-03-11,166.0,166.0,161.0,164.5,147.325
2024-03-12,164.5,176.0,161.5,170.0,149.525
2024-03-13,173.0,184.0,170.0,173.5,151.975
2024-03-14,174.5,177.5,164.0,173.0,154.5
2024-03-15,173.0,175.0,165.0,169.5,156.95
2024-03-18,170.0,182.5,168.0,178.5,159.425
2024-03-19,179.0,185.5,178.5,180.0,161.95
2024-03-20,181.0,183.0,175.5,177.0,164.4
2024-03-21,179.5,186.0,179.0,181.5,166.85
2024-03-22,183.0,187.5,177.0,177.5,169.05
2024-03-25,179.5,189.5,178.0,185.0,171.15
2024-03-26,187.0,199.5,183.0,187.0,172.85
2024-03-27,188.0,189.5,175.0,176.0,173.875
2024-03-28,178.0,183.0,176.0,177.0,174.175
2024-03-29,179.0,180.5,173.0,179.5,174.6
2024-04-01,181.0,183.0,177.5,177.5,175.125
2024-04-02,179.5,182.0,176.5,178.5,175.6
2024-04-03,177.5,179.5,176.0,178.5,175.825
2024-04-08,180.5,184.0,178.5,182.0,176.375
2024-04-09,182.0,191.5,181.0,185.0,177.55
2024-04-10,187.5,191.0,179.0,183.0,178.475
2024-04-11,182.5,198.0,180.5,193.0,179.625
2024-04-12,196.0,212.0,194.0,212.0,181.55
2024-04-15,213.5,221.0,195.0,203.0,183.05
2024-04-16,197.0,201.0,189.0,190.5,184.1
2024-04-17,194.0,209.5,193.5,209.5,185.65
2024-04-18,208.5,214.5,201.5,203.5,186.825
2024-04-19,203.0,208.5,188.5,197.5,187.85
2024-04-22,201.5,202.5,184.0,185.0,188.025
2024-04-23,190.0,193.0,183.5,188.5,188.575
2024-04-24,193.0,195.0,188.0,194.5,189.05
2024-04-25,192.0,194.5,189.0,191.0,189.25
2024-04-26,192.0,194.5,188.0,188.5,189.875
