date,open,high,low,close,SMA_20
2023-08-08,106.5,108.0,106.0,107.5,102.15
2023-08-09,107.5,109.0,106.0,106.5,102.275
2023-08-10,106.5,108.0,105.0,107.0,102.6
2023-08-11,107.0,108.0,105.0,108.0,103.205
2023-08-14,108.0,108.5,105.5,106.5,103.705
2023-08-15,106.5,107.5,105.5,106.0,104.085
2023-08-16,105.0,106.0,103.0,104.0,104.35499999999999
2023-08-17,103.5,106.5,102.5,106.0,104.75
2023-08-18,106.0,110.5,105.5,107.0,105.05
2023-08-21,107.5,107.5,105.0,105.0,105.25
2023-08-22,106.5,107.0,105.5,106.5,105.60999999999999
2023-08-23,107.0,108.0,106.0,106.5,105.95
2023-08-24,106.0,107.0,105.5,106.0,106.15
2023-08-25,105.5,107.0,105.5,105.5,106.275
2023-08-28,106.0,106.0,104.0,105.0,106.15
2023-08-29,105.5,106.0,104.5,105.5,106.225
2023-08-30,106.0,106.5,105.5,105.5,106.225
2023-08-31,106.0,106.5,105.5,106.5,106.3
2023-09-01,106.0,106.5,105.0,105.5,106.125
2023-09-04,106.0,107.5,105.5,107.5,106.175
2023-09-05,107.5,108.5,107.0,108.5,106.225
2023-09-06,109.0,109.0,107.0,107.0,106.25
2023-09-07,107.5,107.5,106.0,107.0,106.25
2023-09-08,107.0,108.0,106.0,107.0,106.2
2023-09-11,106.5,107.0,105.0,106.5,106.2
2023-09-12,106.5,106.5,105.5,106.5,106.225
2023-09-13,106.5,107.0,106.0,106.5,106.35
2023-09-14,107.0,109.5,106.5,109.5,106.525
2023-09-15,109.5,120.0,109.5,118.5,107.1
2023-09-18,117.0,120.5,115.5,117.0,107.7
2023-09-19,117.5,117.5,114.0,116.0,108.175
2023-09-20,116.0,120.0,116.0,117.5,108.725
2023-09-21,117.0,118.0,114.5,115.5,109.2
2023-09-22,114.5,116.0,114.0,114.5,109.65
2023-09-25,114.5,116.5,114.0,116.0,110.2
2023-09-26,115.5,117.0,114.5,115.5,110.7
2023-09-27,115.0,117.0,114.5,116.0,111.225
2023-09-28,116.0,116.5,115.5,116.0,111.7
2023-10-02,116.0,116.5,112.0,113.5,112.1
2023-10-03,113.0,114.0,110.0,110.5,112.25
2023-10-04,110.0,111.0,108.5,110.0,112.325
2023-10-05,111.5,113.5,111.5,112.0,112.575
2023-10-06,113.5,113.5,110.5,111.0,112.775
2023-10-11,109.0,109.5,103.0,103.5,112.6
2023-10-12,102.5,106.0,102.5,106.0,112.575
2023-10-13,105.0,105.5,104.0,105.0,112.5
2023-10-16,104.0,104.0,102.5,104.0,112.375
2023-10-17,104.0,104.5,103.0,103.0,112.05
2023-10-18,103.5,105.0,102.5,102.5,111.25
2023-10-19,102.5,105.0,102.5,103.5,110.575
2023-10-20,103.0,103.5,102.0,103.5,109.95
2023-10-23,103.5,104.5,103.0,103.5,109.25
2023-10-24,103.5,105.5,103.0,105.0,108.725
2023-10-25,105.5,106.0,105.0,105.5,108.275
2023-10-26,105.0,106.5,104.0,106.5,107.8
2023-10-27,106.5,108.0,106.0,108.0,107.425
2023-10-30,109.0,110.0,107.5,110.0,107.125
2023-10-31,110.0,110.0,107.0,107.5,106.7
2023-11-01,108.0,109.5,108.0,109.0,106.475
2023-11-02,109.5,110.5,109.0,110.5,106.475
2023-11-03,111.0,113.0,111.0,113.0,106.625
2023-11-06,109.5,110.5,107.5,109.0,106.475
2023-11-07,108.5,110.0,108.5,108.5,106.35
2023-11-08,109.0,109.5,107.0,107.5,106.55
2023-11-09,108.0,110.0,107.5,109.0,106.7
2023-11-10,109.5,110.0,108.0,109.0,106.9
2023-11-13,109.0,110.5,108.0,108.5,107.125
2023-11-14,112.5,117.5,112.5,114.0,107.675
2023-11-15,115.0,115.5,113.0,115.5,108.325
2023-11-16,116.0,117.5,115.0,117.0,109.0
2023-11-17,117.0,117.0,115.0,115.0,109.575
2023-11-20,115.0,115.0,112.5,114.0,110.1
2023-11-21,113.5,114.0,113.0,113.5,110.525
2023-11-22,113.0,114.0,111.5,112.0,110.85
2023-11-23,112.5,113.5,111.5,112.0,111.125
2023-11-24,113.0,113.0,111.5,113.0,111.375
2023-11-27,113.5,114.0,113.0,113.5,111.55
2023-11-28,113.5,115.0,113.0,114.0,111.875
2023-11-29,114.0,114.0,112.0,112.0,112.025
2023-11-30,113.0,113.5,111.5,112.0,112.1
2023-12-01,112.5,115.0,112.5,114.5,112.175
2023-12-04,115.5,119.0,114.5,118.5,112.65
2023-12-05,119.0,120.0,116.0,117.5,113.1
